,nomor,nama,update,author
0,1,Apakah Karyawan Bertanggungjawab Atas Kerugian Perusahaan?,30 Agt 2022,Haris Satiadi & Partners
1,2,"Perbuatan Tak Penuhi Unsur Delik Pidana, Ini Akibat Hukumnya",25 Agt 2022,"Haris Satiadi, S.H."
2,3,"Pidana Selingkuh Tanpa Bersetubuh bagi Pasangan, Adakah?",24 Agt 2022,PERSADA UB
3,4,"Polisi Melakukan Tindak Pidana, Begini Proses Peradilannya",24 Agt 2022,"Dr. Aditya Wiguna Sanjaya, S.H., M.H., M.H.Li."
4,5,"Pacar Minta Uang dengan Mengancam Putus, Ini Hukumnya",23 Agt 2022,Si Pokrol
5,6,Kasus Pidana yang Bisa Dilakukan Penyelesaian Hukum Secara Kekeluargaan,19 Agt 2022,"Bernadetha Aurelia Oktavira, S.H."
6,7,"Jika Polisi Korupsi, Lembaga Apa yang Berwenang Menangani Kasusnya?",16 Agt 2022,Si Pokrol
7,8,Beda Pasal 3 dan Pasal 4 UU TPPU tentang Asal Usul Harta Kekayaan,12 Agt 2022,"Bernadetha Aurelia Oktavira, S.H."
8,9,Apa Saja Aset Koruptor yang Dapat Dirampas oleh Negara?,11 Agt 2022,Lembaga Bantuan Hukum Mawar Saron
9,10,"Koruptor Kabur ke Luar Negeri, Ini Langkah yang Bisa Ditempuh",10 Agt 2022,"Ita Iya Pulina Perangin-angin, S.H."
10,11,Apakah Karyawan Bertanggungjawab Atas Kerugian Perusahaan?,30 Agt 2022,Haris Satiadi & Partners
11,12,"Perbuatan Tak Penuhi Unsur Delik Pidana, Ini Akibat Hukumnya",25 Agt 2022,"Haris Satiadi, S.H."
12,13,"Pidana Selingkuh Tanpa Bersetubuh bagi Pasangan, Adakah?",24 Agt 2022,PERSADA UB
13,14,"Polisi Melakukan Tindak Pidana, Begini Proses Peradilannya",24 Agt 2022,"Dr. Aditya Wiguna Sanjaya, S.H., M.H., M.H.Li."
14,15,"Pacar Minta Uang dengan Mengancam Putus, Ini Hukumnya",23 Agt 2022,Si Pokrol
15,16,Kasus Pidana yang Bisa Dilakukan Penyelesaian Hukum Secara Kekeluargaan,19 Agt 2022,"Bernadetha Aurelia Oktavira, S.H."
16,17,"Jika Polisi Korupsi, Lembaga Apa yang Berwenang Menangani Kasusnya?",16 Agt 2022,Si Pokrol
17,18,Beda Pasal 3 dan Pasal 4 UU TPPU tentang Asal Usul Harta Kekayaan,12 Agt 2022,"Bernadetha Aurelia Oktavira, S.H."
